,Station Name,Air Temperature
49912,Oak Street Weather Station,22.5
49913,Foster Weather Station,21.39
49914,63rd Street Weather Station,21.4
49915,Oak Street Weather Station,21.5
49916,Foster Weather Station,20.5
49917,63rd Street Weather Station,20.4
49918,Oak Street Weather Station,20.9
49919,Foster Weather Station,19.67
49920,63rd Street Weather Station,19.9
49921,Oak Street Weather Station,20.3
49922,Foster Weather Station,19.0
49923,63rd Street Weather Station,18.9
49924,Oak Street Weather Station,19.7
49925,Foster Weather Station,18.56
49926,63rd Street Weather Station,18.5
49927,Oak Street Weather Station,19.3
49928,Foster Weather Station,18.0
49929,63rd Street Weather Station,18.3
49930,Oak Street Weather Station,18.7
49931,Foster Weather Station,17.39
49932,63rd Street Weather Station,18.0
49933,Oak Street Weather Station,18.7
49934,Foster Weather Station,17.06
49935,63rd Street Weather Station,18.6
49936,Oak Street Weather Station,19.4
49937,Foster Weather Station,17.89
49938,63rd Street Weather Station,19.5
49939,Oak Street Weather Station,20.2
49940,Foster Weather Station,18.5
49941,63rd Street Weather Station,20.2
49942,Oak Street Weather Station,20.8
49943,Foster Weather Station,19.56
49944,63rd Street Weather Station,20.7
49945,Oak Street Weather Station,21.6
49946,Foster Weather Station,20.5
49947,63rd Street Weather Station,22.0
49948,Oak Street Weather Station,22.4
49949,Foster Weather Station,21.17
49950,63rd Street Weather Station,22.0
49951,Oak Street Weather Station,23.4
49952,Foster Weather Station,21.28
49953,63rd Street Weather Station,22.4
49954,Oak Street Weather Station,23.7
49955,Foster Weather Station,21.56
49956,63rd Street Weather Station,23.3
49957,Oak Street Weather Station,23.2
49958,Foster Weather Station,21.89
49959,63rd Street Weather Station,23.4
49960,Oak Street Weather Station,24.0
49961,Foster Weather Station,22.28
49962,63rd Street Weather Station,22.9
49963,Oak Street Weather Station,24.3
49964,Foster Weather Station,22.0
49965,63rd Street Weather Station,23.1
49966,Oak Street Weather Station,23.7
49967,Foster Weather Station,22.5
49968,63rd Street Weather Station,23.0
49969,Oak Street Weather Station,23.3
49970,Foster Weather Station,22.0
49971,63rd Street Weather Station,22.1
49972,Oak Street Weather Station,22.2
49973,Foster Weather Station,21.39
49974,63rd Street Weather Station,21.4
49975,Oak Street Weather Station,21.8
49976,Foster Weather Station,20.89
49977,63rd Street Weather Station,21.3
49978,Oak Street Weather Station,21.6
49979,Foster Weather Station,20.28
49980,63rd Street Weather Station,20.7
49981,Oak Street Weather Station,19.9
49982,Foster Weather Station,18.78
49983,63rd Street Weather Station,19.3
49984,Oak Street Weather Station,19.4
49985,Foster Weather Station,18.0
49986,63rd Street Weather Station,18.8
49987,63rd Street Weather Station,18.3
49988,Oak Street Weather Station,19.1
49989,Foster Weather Station,16.67
49990,63rd Street Weather Station,16.3
49991,Oak Street Weather Station,16.0
49992,Foster Weather Station,14.67
49993,63rd Street Weather Station,15.2
49994,Oak Street Weather Station,15.6
49995,Foster Weather Station,14.28
49996,63rd Street Weather Station,14.9
49997,Oak Street Weather Station,15.1
49998,Foster Weather Station,13.78
49999,63rd Street Weather Station,14.9
50000,Oak Street Weather Station,15.5
50001,Foster Weather Station,14.0
50002,63rd Street Weather Station,15.6
50003,Oak Street Weather Station,16.3
50004,Foster Weather Station,14.78
50005,63rd Street Weather Station,16.7
50006,Oak Street Weather Station,17.2
50007,Foster Weather Station,15.56
50008,63rd Street Weather Station,18.1
50009,Oak Street Weather Station,18.7
50010,Foster Weather Station,17.17
50011,63rd Street Weather Station,18.9
50012,Oak Street Weather Station,20.1
50013,Foster Weather Station,18.17
50014,63rd Street Weather Station,19.6
50015,Oak Street Weather Station,20.5
50016,Foster Weather Station,19.17
50017,63rd Street Weather Station,20.8
50018,Oak Street Weather Station,21.4
50019,Foster Weather Station,19.78
50020,63rd Street Weather Station,21.2
50021,Oak Street Weather Station,21.8
50022,Foster Weather Station,20.67
50023,63rd Street Weather Station,20.7
50024,Oak Street Weather Station,21.8
50025,Foster Weather Station,20.5
50026,63rd Street Weather Station,21.5
50027,Oak Street Weather Station,22.0
50028,Foster Weather Station,20.56
50029,63rd Street Weather Station,21.4
50030,Oak Street Weather Station,22.8
50031,Foster Weather Station,21.17
50032,63rd Street Weather Station,21.9
50033,Oak Street Weather Station,22.2
50034,Foster Weather Station,21.06
50035,63rd Street Weather Station,21.8
50036,Oak Street Weather Station,21.9
50037,Foster Weather Station,20.89
50038,63rd Street Weather Station,21.4
50039,Oak Street Weather Station,21.1
50040,Foster Weather Station,20.28
50041,63rd Street Weather Station,19.7
50042,Oak Street Weather Station,19.9
50043,Foster Weather Station,19.06
50044,63rd Street Weather Station,18.9
50045,Oak Street Weather Station,19.3
50046,Foster Weather Station,18.06
50047,63rd Street Weather Station,18.0
50048,Oak Street Weather Station,18.5
50049,Foster Weather Station,17.39
50050,63rd Street Weather Station,17.6
50051,Oak Street Weather Station,18.3
50052,Foster Weather Station,17.17
50053,63rd Street Weather Station,17.2
50054,Oak Street Weather Station,16.8
50055,Foster Weather Station,15.56
50056,63rd Street Weather Station,16.3
50057,Oak Street Weather Station,16.8
50058,Foster Weather Station,15.28
50059,63rd Street Weather Station,15.8
50060,Oak Street Weather Station,16.4
50061,Foster Weather Station,14.89
50062,63rd Street Weather Station,15.4
50063,Oak Street Weather Station,16.4
50064,Foster Weather Station,14.78
50065,63rd Street Weather Station,15.2
50066,Oak Street Weather Station,15.9
50067,Foster Weather Station,14.5
50068,63rd Street Weather Station,14.3
50069,Oak Street Weather Station,15.4
50070,Foster Weather Station,14.06
50071,63rd Street Weather Station,14.5
50072,Oak Street Weather Station,15.9
50073,Foster Weather Station,14.17
50074,63rd Street Weather Station,15.4
50075,Oak Street Weather Station,16.7
50076,Foster Weather Station,15.17
50077,63rd Street Weather Station,17.0
50078,Oak Street Weather Station,18.1
50079,Foster Weather Station,17.0
50080,63rd Street Weather Station,19.0
50081,Oak Street Weather Station,19.9
50082,Foster Weather Station,18.67
50083,63rd Street Weather Station,20.5
50084,Oak Street Weather Station,20.7
50085,Foster Weather Station,19.17
50086,63rd Street Weather Station,20.8
50087,Oak Street Weather Station,21.5
50088,Foster Weather Station,19.56
50089,63rd Street Weather Station,20.4
50090,Oak Street Weather Station,21.3
50091,Foster Weather Station,20.39
50092,63rd Street Weather Station,21.9
50093,Foster Weather Station,20.5
50094,63rd Street Weather Station,21.8
50095,Foster Weather Station,20.67
50096,Oak Street Weather Station,21.7
50097,63rd Street Weather Station,21.9
50098,Oak Street Weather Station,23.0
50099,Foster Weather Station,20.78
50100,63rd Street Weather Station,22.3
50101,Oak Street Weather Station,22.4
50102,Foster Weather Station,21.5
50103,63rd Street Weather Station,20.8
50104,Oak Street Weather Station,21.0
50105,Foster Weather Station,18.06
50106,63rd Street Weather Station,18.0
50107,Oak Street Weather Station,19.3
50108,Foster Weather Station,18.17
50109,63rd Street Weather Station,18.7
50110,Oak Street Weather Station,18.6
50111,Foster Weather Station,17.78
50112,63rd Street Weather Station,18.2
50113,Oak Street Weather Station,18.1
50114,Foster Weather Station,17.06
50115,63rd Street Weather Station,17.6
50116,Oak Street Weather Station,17.7
50117,Foster Weather Station,16.56
50118,63rd Street Weather Station,16.8
50119,Oak Street Weather Station,17.0
50120,Foster Weather Station,16.0
50121,63rd Street Weather Station,16.5
50122,Oak Street Weather Station,17.0
50123,Foster Weather Station,15.28
50124,63rd Street Weather Station,15.9
50125,Oak Street Weather Station,16.4
50126,Foster Weather Station,15.17
50127,63rd Street Weather Station,15.5
50128,Oak Street Weather Station,15.8
50129,Foster Weather Station,14.56
50130,63rd Street Weather Station,15.0
50131,Oak Street Weather Station,15.4
50132,Foster Weather Station,13.89
50133,63rd Street Weather Station,14.2
50134,Oak Street Weather Station,15.2
50135,Foster Weather Station,13.56
50136,63rd Street Weather Station,13.8
50137,Oak Street Weather Station,15.0
50138,Foster Weather Station,13.17
50139,63rd Street Weather Station,13.8
50140,Oak Street Weather Station,16.1
50141,Foster Weather Station,13.78
50142,63rd Street Weather Station,15.6
50143,Oak Street Weather Station,16.9
50144,Foster Weather Station,15.17
50145,63rd Street Weather Station,17.6
50146,Oak Street Weather Station,18.7
50147,Foster Weather Station,17.17
50148,63rd Street Weather Station,18.9
50149,Oak Street Weather Station,19.8
50150,Foster Weather Station,18.17
50151,63rd Street Weather Station,20.4
50152,Oak Street Weather Station,20.5
50153,Foster Weather Station,19.5
50154,63rd Street Weather Station,19.1
50155,Oak Street Weather Station,21.1
50156,Foster Weather Station,20.39
50157,63rd Street Weather Station,19.2
50158,Oak Street Weather Station,19.5
50159,Foster Weather Station,19.06
50160,63rd Street Weather Station,18.9
50161,Oak Street Weather Station,19.3
50162,Foster Weather Station,19.06
50163,63rd Street Weather Station,19.4
50164,Oak Street Weather Station,20.1
50165,Foster Weather Station,18.67
50166,63rd Street Weather Station,19.2
50167,Foster Weather Station,19.17
50168,63rd Street Weather Station,19.8
50169,Foster Weather Station,19.28
50170,Oak Street Weather Station,20.1
50171,63rd Street Weather Station,19.6
50172,Foster Weather Station,19.0
50173,63rd Street Weather Station,19.9
50174,Foster Weather Station,19.17
50175,63rd Street Weather Station,19.6
50176,Foster Weather Station,18.89
50177,63rd Street Weather Station,19.5
50178,Foster Weather Station,18.56
50179,Oak Street Weather Station,20.7
50180,63rd Street Weather Station,20.0
50181,Oak Street Weather Station,20.6
50182,Foster Weather Station,19.0
50183,63rd Street Weather Station,21.0
50184,Oak Street Weather Station,20.7
50185,Foster Weather Station,18.5
50186,63rd Street Weather Station,20.2
50187,Oak Street Weather Station,21.5
50188,Foster Weather Station,20.39
50189,63rd Street Weather Station,19.6
50190,Oak Street Weather Station,21.3
50191,Foster Weather Station,20.17
50192,63rd Street Weather Station,18.9
50193,Oak Street Weather Station,20.7
50194,Foster Weather Station,19.39
50195,63rd Street Weather Station,18.9
50196,Oak Street Weather Station,20.3
50197,Foster Weather Station,18.67
50198,63rd Street Weather Station,17.8
50199,Oak Street Weather Station,19.7
50200,Foster Weather Station,18.5
50201,63rd Street Weather Station,17.6
50202,Oak Street Weather Station,19.5
50203,Foster Weather Station,18.06
50204,63rd Street Weather Station,17.6
50205,Oak Street Weather Station,19.6
50206,Foster Weather Station,18.06
50207,63rd Street Weather Station,17.9
50208,Oak Street Weather Station,19.8
50209,Foster Weather Station,18.28
50210,63rd Street Weather Station,18.6
50211,Oak Street Weather Station,19.8
50212,Foster Weather Station,18.89
50213,63rd Street Weather Station,19.5
50214,Oak Street Weather Station,20.6
50215,Foster Weather Station,19.56
50216,63rd Street Weather Station,20.3
50217,Oak Street Weather Station,21.4
50218,Foster Weather Station,20.56
50219,63rd Street Weather Station,21.3
50220,Oak Street Weather Station,22.0
50221,Foster Weather Station,20.89
50222,63rd Street Weather Station,21.5
50223,Oak Street Weather Station,21.9
50224,Foster Weather Station,20.67
50225,63rd Street Weather Station,20.0
50226,Oak Street Weather Station,19.9
50227,Foster Weather Station,18.17
50228,63rd Street Weather Station,19.2
50229,Oak Street Weather Station,19.5
50230,Foster Weather Station,19.78
50231,63rd Street Weather Station,22.8
50232,Oak Street Weather Station,22.3
50233,Foster Weather Station,21.67
50234,63rd Street Weather Station,25.1
50235,Oak Street Weather Station,24.7
50236,Foster Weather Station,23.78
50237,63rd Street Weather Station,26.7
50238,Oak Street Weather Station,26.2
50239,Foster Weather Station,26.0
50240,63rd Street Weather Station,27.5
50241,Oak Street Weather Station,27.7
50242,Foster Weather Station,27.17
50243,63rd Street Weather Station,24.1
50244,Oak Street Weather Station,26.3
50245,Foster Weather Station,26.0
50246,63rd Street Weather Station,26.3
50247,Oak Street Weather Station,25.9
50248,Foster Weather Station,25.06
50249,63rd Street Weather Station,26.4
50250,Oak Street Weather Station,26.5
50251,Foster Weather Station,26.0
50252,63rd Street Weather Station,26.0
50253,Oak Street Weather Station,26.0
50254,Foster Weather Station,25.78
50255,63rd Street Weather Station,25.8
50256,Oak Street Weather Station,25.8
50257,Foster Weather Station,25.67
50258,63rd Street Weather Station,23.6
50259,Oak Street Weather Station,20.8
50260,Foster Weather Station,18.67
50261,63rd Street Weather Station,20.5
50262,Oak Street Weather Station,19.0
50263,Foster Weather Station,19.39
50264,63rd Street Weather Station,19.2
50265,Oak Street Weather Station,19.1
50266,Foster Weather Station,18.0
50267,63rd Street Weather Station,20.8
50268,Oak Street Weather Station,20.0
50269,Foster Weather Station,17.89
50270,63rd Street Weather Station,20.2
